user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
151603712.0,Portal 2,TIS-100,Killing Floor,Terraria,Don't Starve: Shipwrecked,Dishonored,Half-Life 2,Fallout: New Vegas,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,Garry's Mod,Long Live The Queen,SOMA,The Talos Principle,Half-Life 2: Episode Two,Half-Life,Chroma Squad,Undertale,Half-Life: Opposing Force,BioShock™,Dead Space™ 2
187131847.0,Left 4 Dead 2,Dungeon Defenders,Magicka,Insurgency,Arma 3,Killing Floor 2,Counter-Strike: Global Offensive,PAYDAY 2,Tom Clancy's Rainbow Six® Siege,SMITE®,Magicka 2,ORION: Prelude,TOXIKK™,RIFT,ArcheBlade™,Dungeon Defenders II,Tower Wars,Warface,Prime World,CroNix
59945701.0,The Witcher 3: Wild Hunt - Expansion Pass,Portal 2,Castle Crashers - Blacksmith Pack,BattleBlock Theater®,The Legend of Heroes: Trails in the Sky SC,Terraria,Mark of the Ninja,Doom & Destiny,Dust: An Elysian Tail,GemCraft - Chasing Shadows,To the Moon,HuniePop,Supreme Commander: Forged Alliance,Castle Crashers®,Kingdom Rush,Long Live The Queen,LISA,Garry's Mod,Cave Story+,Lethal League
53875128.0,Axiom Verge Original Soundtrack,The Witcher 3: Wild Hunt - Expansion Pass,The Witcher 3: Wild Hunt - New Finisher Animations,Tetrobot and Co.,fault - milestone two side:above,Everyday Genius: SquareLogic,Don't Starve: Reign of Giants,Escape Goat,The Witcher® 3: Wild Hunt,South Park™: The Stick of Truth™,Super Hexagon,BattleBlock Theater®,Grim Legends 2: Song of the Dark Swan,Hook,Gunpoint,Bullet Heaven 2,The Binding of Isaac: Rebirth,Luxor Evolved,Outlast: Whistleblower DLC,The Legend of Heroes: Trails in the Sky SC
140954425.0,Left 4 Dead 2,Killing Floor,Garry's Mod,Left 4 Dead,Synergy,Guns of Icarus Online,Insurgency,Arma 3,Killing Floor 2,Day of Defeat: Source,Counter-Strike: Global Offensive,Natural Selection 2,PAYDAY 2,Murder Miners,Codename CURE,Chivalry: Medieval Warfare,Rust,ORION: Prelude,Primal Carnage: Extinction,Warface
26122540.0,BattleBlock Theater®,Castle Crashers®,Orcs Must Die! 2,Risk of Rain,Magicka,Hammerwatch,Nation Red,Yet Another Zombie Defense,Final Exam,Full Mojo Rampage,Bloody Trapland,Brawlhalla,How to Survive,PixelJunk™ Monsters Ultimate,The Lord of the Rings Online™,DC Universe™ Online,Fight The Dragon,RPG MO,Aura Kingdom,TERA
176410694.0,Left 4 Dead 2,Dungeon Defenders,Magicka,Insurgency,Arma 3,Killing Floor 2,Counter-Strike: Global Offensive,PAYDAY 2,Tom Clancy's Rainbow Six® Siege,SMITE®,Magicka 2,ORION: Prelude,TOXIKK™,RIFT,ArcheBlade™,Dungeon Defenders II,Tower Wars,Warface,Prime World,CroNix
197278511.0,Left 4 Dead 2,Dungeon Defenders,Magicka,Insurgency,Arma 3,Killing Floor 2,Counter-Strike: Global Offensive,PAYDAY 2,Tom Clancy's Rainbow Six® Siege,SMITE®,Magicka 2,ORION: Prelude,TOXIKK™,RIFT,ArcheBlade™,Dungeon Defenders II,Tower Wars,Warface,Prime World,CroNix
150128162.0,Left 4 Dead 2,Killing Floor,Garry's Mod,Left 4 Dead,Synergy,Guns of Icarus Online,Insurgency,Arma 3,Killing Floor 2,Day of Defeat: Source,Counter-Strike: Global Offensive,Natural Selection 2,PAYDAY 2,Murder Miners,Codename CURE,Chivalry: Medieval Warfare,Rust,ORION: Prelude,Primal Carnage: Extinction,Warface
197455089.0,Left 4 Dead 2,Dungeon Defenders,Magicka,Insurgency,Arma 3,Killing Floor 2,Counter-Strike: Global Offensive,PAYDAY 2,Tom Clancy's Rainbow Six® Siege,SMITE®,Magicka 2,ORION: Prelude,TOXIKK™,RIFT,ArcheBlade™,Dungeon Defenders II,Tower Wars,Warface,Prime World,CroNix
63024728.0,,,,,,,,,,,,,,,,,,,,
297811211.0,Left 4 Dead 2,Killing Floor,Terraria,Garry's Mod,Left 4 Dead,Dying Light,Synergy,Guns of Icarus Online,Insurgency,Fistful of Frags,Starbound,Arma 3,Killing Floor 2,Day of Defeat: Source,Counter-Strike: Global Offensive,Natural Selection 2,Cry of Fear,Boring Man - Online Tactical Stickman Combat,Zombie Panic! Source,PAYDAY 2
218323237.0,Left 4 Dead 2,Dungeon Defenders,Path of Exile,Resident Evil / biohazard HD REMASTER,Magicka,Insurgency,Killing Floor 2,Arma 3,Mad Max,METAL GEAR SOLID V: THE PHANTOM PAIN,Tomb Raider II,Tomb Raider: Legend,Assassin’s Creed® IV Black Flag™,Counter-Strike: Global Offensive,ENSLAVED™: Odyssey to the West™ Premium Edition,Batman™: Arkham Origins,PAYDAY 2,resident evil 4 / biohazard 4,Spiral Knights,Tomb Raider: Anniversary
302186258.0,Left 4 Dead 2,Dungeon Defenders,Magicka,Insurgency,Arma 3,Killing Floor 2,Counter-Strike: Global Offensive,PAYDAY 2,Tom Clancy's Rainbow Six® Siege,SMITE®,Magicka 2,ORION: Prelude,TOXIKK™,RIFT,ArcheBlade™,Dungeon Defenders II,Tower Wars,Warface,Prime World,CroNix
126340495.0,Portal 2,fault - milestone two side:above,Killing Floor,Terraria,Left 4 Dead 2,Borderlands 2,Saints Row: The Third,LISA,Analogue: A Hate Story,Door Kickers,Left 4 Dead,Black Ice,Serious Sam HD: The Second Encounter,Orcs Must Die! 2,Serious Sam HD: The First Encounter,Tabletop Simulator,Sanctum 2,Amnesia™: Memories,Dying Light,Reassembly
256193015.0,GemCraft - Chasing Shadows,Besiege,"Invisible, Inc.",Paint the Town Red,The Escapists,Card Hunter,Verdun,Surgeon Simulator,Breach & Clear,Boid,Interplanetary,Halfway,Overgrowth,The Banner Saga: Factions,"Warhammer 40,000: Regicide",Immortal Empire,Kill The Bad Guy,VoidExpanse,Epic Arena,Eador. Masters of the Broken World
